case,act,time
10,H,20200422T0916
10,A,20200422T0917
10,E,20200422T0918
10,P,20200422T0919
10,G,20200422T0920
10,K,20200422T0921
10,B,20200422T0922
10,K,20200422T0923
10,E,20200422T0924
10,K,20200422T0925
10,B,20200422T0926
11,M,20200422T0900
11,M,20200422T0901
11,M,20200422T0902
11,D,20200422T0903
11,I,20200422T0904
11,L,20200422T0905
11,B,20200422T0906
11,A,20200422T0907
11,N,20200422T0908
11,L,20200422T0909
11,O,20200422T0910
11,G,20200422T0911
11,D,20200422T0912
11,A,20200422T0913
11,P,20200422T0914
11,J,20200422T0915
11,H,20200422T0916
11,A,20200422T0917
11,E,20200422T0918
11,P,20200422T0919
11,G,20200422T0920
11,K,20200422T0921
11,B,20200422T0922
11,K,20200422T0923
11,E,20200422T0924
11,K,20200422T0925
11,B,20200422T0926
12,M,20200422T0900
12,M,20200422T0901
12,M,20200422T0902
12,D,20200422T0903
12,I,20200422T0904
12,L,20200422T0905
12,B,20200422T0906
12,A,20200422T0907
12,N,20200422T0908
12,L,20200422T0909
12,O,20200422T0910
12,G,20200422T0911
12,D,20200422T0912
12,A,20200422T0913
12,P,20200422T0914
12,J,20200422T0915
12,H,20200422T0916
12,A,20200422T0917
12,E,20200422T0918
12,P,20200422T0919
12,G,20200422T0920
12,K,20200422T0921
12,B,20200422T0922
12,K,20200422T0923
12,E,20200422T0924
12,K,20200422T0925
12,B,20200422T0926
13,M,20200422T0900
13,M,20200422T0901
13,M,20200422T0902
13,D,20200422T0903
13,I,20200422T0904
13,L,20200422T0905
13,B,20200422T0906
13,A,20200422T0907
13,N,20200422T0908
13,L,20200422T0909
13,O,20200422T0910
13,G,20200422T0911
13,D,20200422T0912
13,A,20200422T0913
13,P,20200422T0914
13,J,20200422T0915
13,H,20200422T0916
13,A,20200422T0917
13,E,20200422T0918
13,P,20200422T0919
13,G,20200422T0920
13,K,20200422T0921
13,B,20200422T0922
13,K,20200422T0923
13,E,20200422T0924
13,K,20200422T0925
13,B,20200422T0926
14,M,20200422T0900
14,M,20200422T0901
14,M,20200422T0902
14,D,20200422T0903
14,I,20200422T0904
14,L,20200422T0905
14,B,20200422T0906
14,A,20200422T0907
14,N,20200422T0908
14,L,20200422T0909
14,O,20200422T0910
14,G,20200422T0911
14,D,20200422T0912
14,A,20200422T0913
14,P,20200422T0914
14,J,20200422T0915
14,H,20200422T0916
14,A,20200422T0917
14,E,20200422T0918
14,P,20200422T0919
14,G,20200422T0920
14,K,20200422T0921
14,B,20200422T0922
14,K,20200422T0923
14,E,20200422T0924
14,K,20200422T0925
14,B,20200422T0926
15,M,20200422T0900
15,M,20200422T0901
15,M,20200422T0902
15,D,20200422T0903
15,I,20200422T0904
15,L,20200422T0905
15,B,20200422T0906
15,A,20200422T0907
15,N,20200422T0908
15,L,20200422T0909
15,O,20200422T0910
15,G,20200422T0911
15,D,20200422T0912
15,A,20200422T0913
15,P,20200422T0914
15,J,20200422T0915
15,H,20200422T0916
15,A,20200422T0917
15,E,20200422T0918
15,P,20200422T0919
15,G,20200422T0920
15,K,20200422T0921
15,B,20200422T0922
15,K,20200422T0923
15,E,20200422T0924
15,K,20200422T0925
15,B,20200422T0926
16,M,20200422T0900
16,M,20200422T0901
16,M,20200422T0902
16,D,20200422T0903
16,I,20200422T0904
16,L,20200422T0905
16,B,20200422T0906
16,A,20200422T0907
16,N,20200422T0908
16,L,20200422T0909
16,O,20200422T0910
16,G,20200422T0911
16,D,20200422T0912
16,A,20200422T0913
16,P,20200422T0914
16,J,20200422T0915
16,H,20200422T0916
16,A,20200422T0917
16,E,20200422T0918
16,P,20200422T0919
16,G,20200422T0920
16,K,20200422T0921
16,B,20200422T0922
16,K,20200422T0923
16,E,20200422T0924
16,K,20200422T0925
16,B,20200422T0926
17,M,20200422T0900
17,M,20200422T0901
17,M,20200422T0902
17,D,20200422T0903
17,I,20200422T0904
17,L,20200422T0905
17,B,20200422T0906
17,A,20200422T0907
17,N,20200422T0908
17,L,20200422T0909
17,O,20200422T0910
17,G,20200422T0911
17,D,20200422T0912
17,A,20200422T0913
17,P,20200422T0914
17,J,20200422T0915
17,H,20200422T0916
17,A,20200422T0917
17,E,20200422T0918
17,P,20200422T0919
17,G,20200422T0920
17,K,20200422T0921
17,B,20200422T0922
17,K,20200422T0923
17,E,20200422T0924
17,K,20200422T0925
17,B,20200422T0926
18,M,20200422T0900
18,M,20200422T0901
18,M,20200422T0902
18,D,20200422T0903
18,I,20200422T0904
18,L,20200422T0905
18,B,20200422T0906
18,A,20200422T0907
18,N,20200422T0908
18,L,20200422T0909
18,O,20200422T0910
18,G,20200422T0911
18,D,20200422T0912
18,A,20200422T0913
18,P,20200422T0914
18,J,20200422T0915
18,H,20200422T0916
18,A,20200422T0917
18,E,20200422T0918
18,P,20200422T0919
18,G,20200422T0920
18,K,20200422T0921
18,B,20200422T0922
18,K,20200422T0923
18,E,20200422T0924
18,K,20200422T0925
18,B,20200422T0926
19,M,20200422T0900
19,M,20200422T0901
19,M,20200422T0902
19,D,20200422T0903
19,I,20200422T0904
19,L,20200422T0905
19,B,20200422T0906
19,A,20200422T0907
19,N,20200422T0908
19,L,20200422T0909
19,O,20200422T0910
19,G,20200422T0911
19,D,20200422T0912
19,A,20200422T0913
19,P,20200422T0914
19,J,20200422T0915
19,H,20200422T0916
19,A,20200422T0917
19,E,20200422T0918
19,P,20200422T0919
19,G,20200422T0920
19,K,20200422T0921
19,B,20200422T0922
19,K,20200422T0923
19,E,20200422T0924
19,K,20200422T0925
19,B,20200422T0926
20,M,20200422T0900
20,M,20200422T0901
20,M,20200422T0902
20,D,20200422T0903
20,I,20200422T0904
20,L,20200422T0905
20,B,20200422T0906
20,A,20200422T0907
20,N,20200422T0908
20,L,20200422T0909
20,O,20200422T0910
20,G,20200422T0911
20,D,20200422T0912
20,A,20200422T0913
20,P,20200422T0914
20,J,20200422T0915
20,H,20200422T0916
20,A,20200422T0917
20,E,20200422T0918
20,P,20200422T0919
20,G,20200422T0920
20,K,20200422T0921
20,B,20200422T0922
20,K,20200422T0923
20,E,20200422T0924
20,K,20200422T0925
20,B,20200422T0926
21,M,20200422T0900
21,M,20200422T0901
21,M,20200422T0902
21,D,20200422T0903
21,I,20200422T0904
21,L,20200422T0905
21,B,20200422T0906
21,A,20200422T0907
21,N,20200422T0908
21,L,20200422T0909
21,O,20200422T0910
21,G,20200422T0911
21,D,20200422T0912
21,A,20200422T0913
21,P,20200422T0914
21,J,20200422T0915
21,H,20200422T0916
21,A,20200422T0917
21,E,20200422T0918
21,P,20200422T0919
21,G,20200422T0920
21,K,20200422T0921
21,B,20200422T0922
21,K,20200422T0923
21,E,20200422T0924
21,K,20200422T0925
21,B,20200422T0926
22,M,20200422T0900
22,M,20200422T0901
22,M,20200422T0902
22,D,20200422T0903
22,I,20200422T0904
22,L,20200422T0905
22,B,20200422T0906
22,A,20200422T0907
22,N,20200422T0908
22,L,20200422T0909
22,O,20200422T0910
22,G,20200422T0911
22,D,20200422T0912
22,A,20200422T0913
22,P,20200422T0914
22,J,20200422T0915
22,H,20200422T0916
22,A,20200422T0917
22,E,20200422T0918
22,P,20200422T0919
22,G,20200422T0920
22,K,20200422T0921
22,B,20200422T0922
22,K,20200422T0923
22,E,20200422T0924
22,K,20200422T0925
22,B,20200422T0926
23,M,20200422T0900
23,M,20200422T0901
23,M,20200422T0902
23,D,20200422T0903
23,I,20200422T0904
23,L,20200422T0905
23,B,20200422T0906
23,A,20200422T0907
23,N,20200422T0908
23,L,20200422T0909
23,O,20200422T0910
23,G,20200422T0911
23,D,20200422T0912
23,A,20200422T0913
23,P,20200422T0914
23,J,20200422T0915
23,H,20200422T0916
23,A,20200422T0917
23,E,20200422T0918
23,P,20200422T0919
23,G,20200422T0920
23,K,20200422T0921
23,B,20200422T0922
23,K,20200422T0923
23,E,20200422T0924
23,K,20200422T0925
23,B,20200422T0926
24,M,20200422T0900
24,M,20200422T0901
24,M,20200422T0902
24,D,20200422T0903
24,I,20200422T0904
24,L,20200422T0905
24,B,20200422T0906
24,A,20200422T0907
24,N,20200422T0908
24,L,20200422T0909
24,O,20200422T0910
24,G,20200422T0911
24,D,20200422T0912
24,A,20200422T0913
24,P,20200422T0914
24,J,20200422T0915
24,H,20200422T0916
24,A,20200422T0917
24,E,20200422T0918
24,P,20200422T0919
24,G,20200422T0920
24,K,20200422T0921
24,B,20200422T0922
24,K,20200422T0923
24,E,20200422T0924
24,K,20200422T0925
24,B,20200422T0926
25,M,20200422T0900
25,M,20200422T0901
25,M,20200422T0902
25,D,20200422T0903
25,I,20200422T0904
25,L,20200422T0905
25,B,20200422T0906
25,A,20200422T0907
25,N,20200422T0908
25,L,20200422T0909
25,O,20200422T0910
25,G,20200422T0911
25,D,20200422T0912
25,A,20200422T0913
25,P,20200422T0914
25,J,20200422T0915
25,H,20200422T0916
25,A,20200422T0917
25,E,20200422T0918
25,P,20200422T0919
25,G,20200422T0920
25,K,20200422T0921
25,B,20200422T0922
25,K,20200422T0923
25,E,20200422T0924
25,K,20200422T0925
25,B,20200422T0926
26,M,20200422T0900
26,M,20200422T0901
26,M,20200422T0902
26,D,20200422T0903
26,I,20200422T0904
26,L,20200422T0905
26,B,20200422T0906
26,A,20200422T0907
26,N,20200422T0908
26,L,20200422T0909
26,O,20200422T0910
26,G,20200422T0911
26,D,20200422T0912
26,A,20200422T0913
26,P,20200422T0914
26,J,20200422T0915
26,H,20200422T0916
26,A,20200422T0917
26,E,20200422T0918
26,P,20200422T0919
26,G,20200422T0920
26,K,20200422T0921
26,B,20200422T0922
26,K,20200422T0923
26,E,20200422T0924
26,K,20200422T0925
26,B,20200422T0926
27,M,20200422T0900
27,M,20200422T0901
27,M,20200422T0902
27,D,20200422T0903
27,I,20200422T0904
27,L,20200422T0905
27,B,20200422T0906
27,A,20200422T0907
27,N,20200422T0908
27,L,20200422T0909
27,O,20200422T0910
27,G,20200422T0911
27,D,20200422T0912
27,A,20200422T0913
27,P,20200422T0914
27,J,20200422T0915
27,H,20200422T0916
27,A,20200422T0917
27,E,20200422T0918
27,P,20200422T0919
27,G,20200422T0920
27,K,20200422T0921
27,B,20200422T0922
27,K,20200422T0923
27,E,20200422T0924
27,K,20200422T0925
27,B,20200422T0926
28,M,20200422T0900
28,M,20200422T0901
28,M,20200422T0902
28,D,20200422T0903
28,I,20200422T0904
28,L,20200422T0905
28,B,20200422T0906
28,A,20200422T0907
28,N,20200422T0908
28,L,20200422T0909
28,O,20200422T0910
28,G,20200422T0911
28,D,20200422T0912
28,A,20200422T0913
28,P,20200422T0914
28,J,20200422T0915
28,H,20200422T0916
28,A,20200422T0917
28,E,20200422T0918
28,P,20200422T0919
28,G,20200422T0920
28,K,20200422T0921
28,B,20200422T0922
28,K,20200422T0923
28,E,20200422T0924
28,K,20200422T0925
28,B,20200422T0926
29,M,20200422T0900
29,M,20200422T0901
29,M,20200422T0902
29,D,20200422T0903
29,I,20200422T0904
29,L,20200422T0905
29,B,20200422T0906
29,A,20200422T0907
29,N,20200422T0908
29,L,20200422T0909
29,O,20200422T0910
29,G,20200422T0911
29,D,20200422T0912
29,A,20200422T0913
29,P,20200422T0914
29,J,20200422T0915
29,H,20200422T0916
29,A,20200422T0917
29,E,20200422T0918
29,P,20200422T0919
29,G,20200422T0920
29,K,20200422T0921
29,B,20200422T0922
29,K,20200422T0923
29,E,20200422T0924
29,K,20200422T0925
29,B,20200422T0926
30,M,20200422T0900
30,M,20200422T0901
30,M,20200422T0902
30,D,20200422T0903
30,I,20200422T0904
30,L,20200422T0905
30,B,20200422T0906
30,A,20200422T0907
30,N,20200422T0908
30,L,20200422T0909
30,O,20200422T0910
30,G,20200422T0911
30,D,20200422T0912
30,A,20200422T0913
30,P,20200422T0914
30,J,20200422T0915
30,H,20200422T0916
30,A,20200422T0917
30,E,20200422T0918
30,P,20200422T0919
30,G,20200422T0920
30,K,20200422T0921
30,B,20200422T0922
30,K,20200422T0923
30,E,20200422T0924
30,K,20200422T0925
30,B,20200422T0926
31,M,20200422T0900
31,M,20200422T0901
31,M,20200422T0902
31,D,20200422T0903
31,I,20200422T0904
31,L,20200422T0905
31,B,20200422T0906
31,A,20200422T0907
31,N,20200422T0908
31,L,20200422T0909
31,O,20200422T0910
31,G,20200422T0911
31,D,20200422T0912
31,A,20200422T0913
31,P,20200422T0914
31,J,20200422T0915
31,H,20200422T0916
31,A,20200422T0917
31,E,20200422T0918
31,P,20200422T0919
31,G,20200422T0920
31,K,20200422T0921
31,B,20200422T0922
31,K,20200422T0923
31,E,20200422T0924
31,K,20200422T0925
31,B,20200422T0926
32,M,20200422T0900
32,M,20200422T0901
32,M,20200422T0902
32,D,20200422T0903
32,I,20200422T0904
32,L,20200422T0905
32,B,20200422T0906
32,A,20200422T0907
32,N,20200422T0908
32,L,20200422T0909
32,O,20200422T0910
32,G,20200422T0911
32,D,20200422T0912
32,A,20200422T0913
32,P,20200422T0914
32,J,20200422T0915
32,H,20200422T0916
32,A,20200422T0917
32,E,20200422T0918
32,P,20200422T0919
32,G,20200422T0920
32,K,20200422T0921
32,B,20200422T0922
32,K,20200422T0923
32,E,20200422T0924
32,K,20200422T0925
32,B,20200422T0926
33,M,20200422T0900
33,M,20200422T0901
33,M,20200422T0902
33,D,20200422T0903
33,I,20200422T0904
33,L,20200422T0905
33,B,20200422T0906
33,A,20200422T0907
33,N,20200422T0908
33,L,20200422T0909
33,O,20200422T0910
33,G,20200422T0911
33,D,20200422T0912
33,A,20200422T0913
33,P,20200422T0914
33,J,20200422T0915
33,H,20200422T0916
33,A,20200422T0917
33,E,20200422T0918
33,P,20200422T0919
33,G,20200422T0920
33,K,20200422T0921
33,B,20200422T0922
33,K,20200422T0923
33,E,20200422T0924
33,K,20200422T0925
33,B,20200422T0926
34,M,20200422T0900
34,M,20200422T0901
34,M,20200422T0902
34,D,20200422T0903
34,I,20200422T0904
34,L,20200422T0905
34,B,20200422T0906
34,A,20200422T0907
34,N,20200422T0908
34,L,20200422T0909
34,O,20200422T0910
34,G,20200422T0911
34,D,20200422T0912
34,A,20200422T0913
34,P,20200422T0914
34,J,20200422T0915
34,H,20200422T0916
34,A,20200422T0917
34,E,20200422T0918
34,P,20200422T0919
34,G,20200422T0920
34,K,20200422T0921
34,B,20200422T0922
34,K,20200422T0923
34,E,20200422T0924
34,K,20200422T0925
34,B,20200422T0926
35,M,20200422T0900
35,M,20200422T0901
35,M,20200422T0902
35,D,20200422T0903
35,I,20200422T0904
35,L,20200422T0905
35,B,20200422T0906
35,A,20200422T0907
35,N,20200422T0908
35,L,20200422T0909
35,O,20200422T0910
35,G,20200422T0911
35,D,20200422T0912
35,A,20200422T0913
35,P,20200422T0914
35,J,20200422T0915
35,H,20200422T0916
35,A,20200422T0917
35,E,20200422T0918
35,P,20200422T0919
35,G,20200422T0920
35,K,20200422T0921
35,B,20200422T0922
35,K,20200422T0923
35,E,20200422T0924
35,K,20200422T0925
35,B,20200422T0926
36,M,20200422T0900
36,M,20200422T0901
36,M,20200422T0902
36,D,20200422T0903
36,I,20200422T0904
36,L,20200422T0905
36,B,20200422T0906
36,A,20200422T0907
36,N,20200422T0908
36,L,20200422T0909
36,O,20200422T0910
36,G,20200422T0911
36,D,20200422T0912
36,A,20200422T0913
36,P,20200422T0914
36,J,20200422T0915
36,H,20200422T0916
36,A,20200422T0917
36,E,20200422T0918
36,P,20200422T0919
36,G,20200422T0920
36,K,20200422T0921
36,B,20200422T0922
36,K,20200422T0923
36,E,20200422T0924
36,K,20200422T0925
36,B,20200422T0926
37,M,20200422T0900
37,M,20200422T0901
37,M,20200422T0902
37,D,20200422T0903
37,I,20200422T0904
37,L,20200422T0905
37,B,20200422T0906
37,A,20200422T0907
37,N,20200422T0908
37,L,20200422T0909
37,O,20200422T0910
37,G,20200422T0911
37,D,20200422T0912
37,A,20200422T0913
37,P,20200422T0914
37,J,20200422T0915
37,H,20200422T0916
37,A,20200422T0917
37,E,20200422T0918
37,P,20200422T0919
37,G,20200422T0920
37,K,20200422T0921
37,B,20200422T0922
37,K,20200422T0923
37,E,20200422T0924
37,K,20200422T0925
37,B,20200422T0926
38,M,20200422T0900
38,M,20200422T0901
38,M,20200422T0902
38,D,20200422T0903
38,I,20200422T0904
38,L,20200422T0905
38,B,20200422T0906
38,A,20200422T0907
38,N,20200422T0908
38,L,20200422T0909
38,O,20200422T0910
38,G,20200422T0911
38,D,20200422T0912
38,A,20200422T0913
38,P,20200422T0914
38,J,20200422T0915
38,H,20200422T0916
38,A,20200422T0917
38,E,20200422T0918
38,P,20200422T0919
38,G,20200422T0920
38,K,20200422T0921
38,B,20200422T0922
38,K,20200422T0923
38,E,20200422T0924
38,K,20200422T0925
38,B,20200422T0926
39,M,20200422T0900
39,M,20200422T0901
39,M,20200422T0902
39,D,20200422T0903
39,I,20200422T0904
39,L,20200422T0905
39,B,20200422T0906
39,A,20200422T0907
39,N,20200422T0908
39,L,20200422T0909
39,O,20200422T0910
39,G,20200422T0911
39,D,20200422T0912
39,A,20200422T0913
39,P,20200422T0914
39,J,20200422T0915
39,H,20200422T0916
39,A,20200422T0917
39,E,20200422T0918
39,P,20200422T0919
39,G,20200422T0920
39,K,20200422T0921
39,B,20200422T0922
39,K,20200422T0923
39,E,20200422T0924
39,K,20200422T0925
39,B,20200422T0926
40,M,20200422T0900
40,M,20200422T0901
40,M,20200422T0902
40,D,20200422T0903
40,I,20200422T0904
40,L,20200422T0905
40,B,20200422T0906
40,A,20200422T0907
40,N,20200422T0908
40,L,20200422T0909
40,O,20200422T0910
40,G,20200422T0911
40,D,20200422T0912
40,A,20200422T0913
40,P,20200422T0914
40,J,20200422T0915
40,H,20200422T0916
40,A,20200422T0917
40,E,20200422T0918
40,P,20200422T0919
40,G,20200422T0920
40,K,20200422T0921
40,B,20200422T0922
40,K,20200422T0923
40,E,20200422T0924
40,K,20200422T0925
40,B,20200422T0926
41,M,20200422T0900
41,M,20200422T0901
41,M,20200422T0902
41,D,20200422T0903
41,I,20200422T0904
41,L,20200422T0905
41,B,20200422T0906
41,A,20200422T0907
41,N,20200422T0908
41,L,20200422T0909
41,O,20200422T0910
41,G,20200422T0911
41,D,20200422T0912
41,A,20200422T0913
41,P,20200422T0914
41,J,20200422T0915
41,H,20200422T0916
41,A,20200422T0917
41,E,20200422T0918
41,P,20200422T0919
41,G,20200422T0920
41,K,20200422T0921
41,B,20200422T0922
41,K,20200422T0923
41,E,20200422T0924
41,K,20200422T0925
41,B,20200422T0926
42,M,20200422T0900
42,M,20200422T0901
42,M,20200422T0902
42,D,20200422T0903
42,I,20200422T0904
42,L,20200422T0905
42,B,20200422T0906
42,A,20200422T0907
42,N,20200422T0908
42,L,20200422T0909
42,O,20200422T0910
42,G,20200422T0911
42,D,20200422T0912
42,A,20200422T0913
42,P,20200422T0914
42,J,20200422T0915
42,H,20200422T0916
42,A,20200422T0917
42,E,20200422T0918
42,P,20200422T0919
42,G,20200422T0920
42,K,20200422T0921
42,B,20200422T0922
42,K,20200422T0923
42,E,20200422T0924
42,K,20200422T0925
42,B,20200422T0926
43,M,20200422T0900
43,M,20200422T0901
43,M,20200422T0902
43,D,20200422T0903
43,I,20200422T0904
43,L,20200422T0905
43,B,20200422T0906
43,A,20200422T0907
43,N,20200422T0908
43,L,20200422T0909
43,O,20200422T0910
43,G,20200422T0911
43,D,20200422T0912
43,A,20200422T0913
43,P,20200422T0914
43,J,20200422T0915
43,H,20200422T0916
43,A,20200422T0917
43,E,20200422T0918
43,P,20200422T0919
43,G,20200422T0920
43,K,20200422T0921
43,B,20200422T0922
43,K,20200422T0923
43,E,20200422T0924
43,K,20200422T0925
43,B,20200422T0926
44,M,20200422T0900
44,M,20200422T0901
44,M,20200422T0902
44,D,20200422T0903
44,I,20200422T0904
44,L,20200422T0905
44,B,20200422T0906
44,A,20200422T0907
44,N,20200422T0908
44,L,20200422T0909
44,O,20200422T0910
44,G,20200422T0911
44,D,20200422T0912
44,A,20200422T0913
44,P,20200422T0914
44,J,20200422T0915
44,H,20200422T0916
44,A,20200422T0917
44,E,20200422T0918
44,P,20200422T0919
44,G,20200422T0920
44,K,20200422T0921
44,B,20200422T0922
44,K,20200422T0923
44,E,20200422T0924
44,K,20200422T0925
44,B,20200422T0926
45,M,20200422T0900
45,M,20200422T0901
45,M,20200422T0902
45,D,20200422T0903
45,I,20200422T0904
45,L,20200422T0905
45,B,20200422T0906
45,A,20200422T0907
45,N,20200422T0908
45,L,20200422T0909
45,O,20200422T0910
45,G,20200422T0911
45,D,20200422T0912
45,A,20200422T0913
45,P,20200422T0914
45,J,20200422T0915
45,H,20200422T0916
45,A,20200422T0917
45,E,20200422T0918
45,P,20200422T0919
45,G,20200422T0920
45,K,20200422T0921
45,B,20200422T0922
45,K,20200422T0923
45,E,20200422T0924
45,K,20200422T0925
45,B,20200422T0926
46,M,20200422T0900
46,M,20200422T0901
46,M,20200422T0902
46,D,20200422T0903
46,I,20200422T0904
46,L,20200422T0905
46,B,20200422T0906
46,A,20200422T0907
46,N,20200422T0908
46,L,20200422T0909
46,O,20200422T0910
46,G,20200422T0911
46,D,20200422T0912
46,A,20200422T0913
46,P,20200422T0914
46,J,20200422T0915
46,H,20200422T0916
46,A,20200422T0917
46,E,20200422T0918
46,P,20200422T0919
46,G,20200422T0920
46,K,20200422T0921
46,B,20200422T0922
46,K,20200422T0923
46,E,20200422T0924
46,K,20200422T0925
46,B,20200422T0926
47,M,20200422T0900
47,M,20200422T0901
